OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-AR,USGS Arkansas Water Science Center,USGS-07055824,"Buffalo Rv. DS of Big Creek near Hasty, AR",Stream,,11010005,,,,,35.98997220000000,-93.0318889000000,24000,Unknown,Unknown,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,706,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,05,101,,,,,,,,,NWIS
USGS-AR,USGS Arkansas Water Science Center,USGS-07055900,"Buffalo RIver nr Tyler Bend Access nr St. Joe, AR",Stream,,11010005,,,,,35.99019720000000,-92.7630000000000,24000,Unknown,Unknown,Unknown.,NAD83,,,,,,,US,05,129,,,,,,,,,NWIS
USGS-AR,USGS Arkansas Water Science Center,USGS-07056100,"Buffalo River near Gilbert, AR",Stream,,11010005,,,,,35.99035830000000,-92.7114806000000,24000,Unknown,Unknown,Unknown.,NAD83,,,,,,,US,05,129,,,,,,,,,NWIS
USGS-AR,USGS Arkansas Water Science Center,USGS-07056700,"Buffalo River near Harriet, AR",Stream,,11010005,1070,sq mi,,,36.06777778000000,-92.5775000000000,,10,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,479.87,feet,.25,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,05,089,,,,,,,,,NWIS
USGS-AR,USGS Arkansas Water Science Center,USGS-07060710,"North Sylamore Creek near Fifty Six, AR",Stream,,11010004,58.1,sq mi,,,35.99166667000000,-92.2138889000000,24000,1,seconds,Interpolated from MAP.,NAD83,434.99,feet,.01,feet,Level or other surveyed method.,NGVD29,US,05,137,,,,,,,,,NWIS
USGS-AR,USGS Arkansas Water Science Center,USGS-07075270,"South Fork of Little Red River near Scotland, AR",Stream,,11010014,74.7,sq mi,,,35.56972220000000,-92.6219444000000,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,663.57,feet,.25,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,05,141,,,,,,,,,NWIS
USGS-AR,USGS Arkansas Water Science Center,USGS-07077000,"White River at DeValls Bluff, AR",Stream,,08020301,23400,sq mi,,,34.79444444000000,-91.4447222000000,,10,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,152.93,feet,10,feet,Unknown.,NGVD29,US,05,117,,,,,,,,,NWIS
USGS-AR,USGS Arkansas Water Science Center,USGS-07077500,"Cache River at Patterson, AR",Stream,,08020302,1040,sq mi,,,35.26972220000000,-91.2363889000000,,5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,498.64,feet,.25,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,05,147,,,,,,,,,NWIS
USGS-AR,USGS Arkansas Water Science Center,USGS-07077700,"Bayou DeView near Morton, AR",Stream,,08020302,421,sq mi,,,35.25194444000000,-91.1119444000000,,5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,187.71,feet,10,feet,Unknown.,NGVD29,US,05,147,,,,,,,,,NWIS
USGS-AR,USGS Arkansas Water Science Center,USGS-07194800,"Illinois River at Savoy, AR",Stream,,11110103,167,sq mi,,,36.10305556000000,-94.3444444000000,24000,10,seconds,Interpolated from MAP.,NAD83,1018.09,feet,.25,feet,GNSS1 - Level 1 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,05,143,,,,,,,,,NWIS
USGS-AR,USGS Arkansas Water Science Center,USGS-071948095,"Mud Creek near Johnson, AR",Stream,,11110103,,,,,36.12280830000000,-94.1625611000000,,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,05,143,,,,,,,,,NWIS
USGS-AR,USGS Arkansas Water Science Center,USGS-07194880,"Osage Creek near Cave Springs, AR",Stream,,11110103,34.7,sq mi,,,36.28146620000000,-94.2279838000000,24000,1,seconds,Interpolated from MAP.,NAD83,1129.97,feet,.25,feet,GNSS1 - Level 1 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,05,007,,,,,,,,,NWIS
USGS-AR,USGS Arkansas Water Science Center,USGS-07194933,"Spring Creek at Hwy 112 nr Springdale, AR",Stream,,11110103,35,sq mi,,,36.24377778000000,-94.2391389000000,24000,1,seconds,Interpolated from MAP.,NAD83,1085.29,feet,.25,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,05,007,,,,,,,,,NWIS
USGS-AR,USGS Arkansas Water Science Center,USGS-07195000,"Osage Creek near Elm Springs, AR",Stream,,11110103,130,sq mi,,,36.22194444000000,-94.2883333000000,24000,.1,seconds,Interpolated from MAP.,NAD83,1054.10,feet,.25,feet,GNSS1 - Level 1 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,05,007,,,,,,,,,NWIS
USGS-AR,USGS Arkansas Water Science Center,USGS-07195430,"Illinois River South of Siloam Springs, AR",Stream,,11110103,575,sq mi,,,36.10861110000000,-94.5333333000000,,.1,seconds,Interpolated from MAP.,NAD83,913.14,feet,.25,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,05,007,,,,,,,,,NWIS
USGS-AR,USGS Arkansas Water Science Center,USGS-07196900,"Baron Fork at Dutch Mills, AR",Stream,,11110103,40.6,sq mi,,,35.88000000000000,-94.4863889000000,,10,seconds,Interpolated from MAP.,NAD83,986.47,feet,.01,feet,Level or other surveyed method.,NGVD29,US,05,143,,,,,,,,,NWIS
USGS-AR,USGS Arkansas Water Science Center,USGS-07247000,"Poteau River at Cauthron, AR",Stream,,11110105,203,sq mi,,,34.91888889000000,-94.2994444000000,,10,seconds,Interpolated from MAP.,NAD83,569.53,feet,.01,feet,Level or other surveyed method.,NGVD29,US,05,127,,,,,,,,,NWIS
USGS-AR,USGS Arkansas Water Science Center,USGS-07249400,"James Fork near Hackett, AR",Stream,,11110105,147,sq mi,,,35.16250000000000,-94.4069444000000,,10,seconds,Interpolated from MAP.,NAD83,459.71,feet,.01,feet,Level or other surveyed method.,NGVD29,US,05,131,,,,,,,,,NWIS
USGS-AR,USGS Arkansas Water Science Center,USGS-07249985,"Lee Creek near Short, OK",Stream,,11110104,420,sq mi,,,35.51722220000000,-94.4641667000000,24000,10,seconds,Interpolated from MAP.,NAD83,,,,,,,US,40,135,,,,,,,,,NWIS
USGS-AR,USGS Arkansas Water Science Center,USGS-07250550,"AR River at James W. Trimble L&D nr Van Buren, AR",Stream,,11110201,151000,sq mi,,,35.34888889000000,-94.2983333000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,05,131,,,,,,,,,NWIS
USGS-AR,USGS Arkansas Water Science Center,USGS-07257693,"Huckleberry Creek nr Augsburg, AR",Stream,,11110202,2.15,sq mi,,,35.39305556000000,-93.2205556000000,,1,seconds,Interpolated from MAP.,NAD83,500,feet,14,feet,Global Positioning System.,NAVD88,US,05,115,,,,,,,,,NWIS
USGS-AR,USGS Arkansas Water Science Center,USGS-0725769302,"Unnamed Tributary A near Augsburg, AR",Stream,,11110202,,,,,35.38886110000000,-93.1991667000000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,05,115,,,,,,,,,NWIS
USGS-AR,USGS Arkansas Water Science Center,USGS-07257694,"Unnamed Tributary B near Augsburg, AR",Stream,,11110202,,,,,35.38730556000000,-93.1951667000000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,05,115,,,,,,,,,NWIS
USGS-AR,USGS Arkansas Water Science Center,USGS-0725769402,"Unnamed Tributary C near Augsburg, AR",Stream,,11110202,,,,,35.38583330000000,-93.1858333000000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,05,115,,,,,,,,,NWIS
USGS-AR,USGS Arkansas Water Science Center,USGS-07257696,Huckleberry Res @ Out-take Struc nr Russellville,Stream,,11110202,,,,,35.37450000000000,-93.1890833000000,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,05,115,,,,,,,,,NWIS
USGS-AR,USGS Arkansas Water Science Center,USGS-07257699,Ill Byu blw Huckleberry Res @ intake nr Russelvlle,Stream,,11110202,,,,,35.36830556000000,-93.1891944000000,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,05,115,,,,,,,,,NWIS
USGS-AR,USGS Arkansas Water Science Center,USGS-07263295,"Maumelle River at Williams Junction, AR",Stream,,11110207,46.1,sq mi,,,34.87611110000000,-92.7744444000000,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,389.51,feet,.25,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,05,105,,,,,,,,,NWIS
USGS-AR,USGS Arkansas Water Science Center,USGS-07263296,"Maumelle River near Wye, AR",Stream,,11110207,73.0,sq mi,,,34.87888889000000,-92.6855556000000,,1,minutes,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,286.13,feet,.25,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,05,119,,,,,,,,,NWIS
USGS-AR,USGS Arkansas Water Science Center,USGS-072632962,"Bringle Creek at Martindale, AR",Stream,,11110207,8.70,sq mi,,,34.88111110000000,-92.6811111000000,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,300.14,feet,.25,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,05,119,,,,,,,,,NWIS
USGS-AR,USGS Arkansas Water Science Center,USGS-072632966,"Lake Maumelle at State Hwy 10 near Wye, AR",Stream,,11110207,89.4,sq mi,,,34.87527778000000,-92.6538889000000,24000,1,minutes,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,272.75,feet,.25,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,05,119,,,,,,,,,NWIS
USGS-AR,USGS Arkansas Water Science Center,USGS-072632968,"Lk Maumelle at Mouth of Pigeon Roost Cr nr Wye, AR","Lake, Reservoir, Impoundment",,11110207,2.56,sq mi,,,34.87388889000000,-92.6338889000000,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,05,119,,,,,,,,,NWIS
USGS-AR,USGS Arkansas Water Science Center,USGS-07263297,"Lake Maumelle east of Hwy 10 bridge near Wye, AR","Lake, Reservoir, Impoundment",,11110207,,,,,34.87536729000000,-92.6482187000000,,10,seconds,Interpolated from MAP.,NAD83,,,,,,,US,05,119,,,,,,,,,NWIS
USGS-AR,USGS Arkansas Water Science Center,USGS-072632971,"Yount Creek near Martindale, AR",Stream,,11110207,2.5,sq mi,,,34.88972220000000,-92.6466667000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,299.00,feet,10.,feet,Interpolated from topographic map.,NAVD88,US,05,119,,,,,,,,,NWIS
USGS-AR,USGS Arkansas Water Science Center,USGS-072632982,"Reece Creek at Little Italy, AR",Stream,,11110207,4.96,sq mi,,,34.93000000000000,-92.5930556000000,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,472.0,feet,5.0,feet,Global Positioning System.,NAVD88,US,05,119,,,,,,,,,NWIS
USGS-AR,USGS Arkansas Water Science Center,USGS-07263299,"Lake Maumelle near Little Italy, AR","Lake, Reservoir, Impoundment",,11110207,,,,,34.87611110000000,-92.5763889000000,,10,seconds,Interpolated from MAP.,NAD83,,,,,,,US,05,119,,,,,,,,,NWIS
USGS-AR,USGS Arkansas Water Science Center,USGS-072632995,Lake Maumelle at Natural Steps,"Lake, Reservoir, Impoundment",,11110207,,,,,34.86092316000000,-92.5021032000000,,10,seconds,Interpolated from MAP.,NAD83,,,,,,,US,05,119,,,,,,,,,NWIS
USGS-AR,USGS Arkansas Water Science Center,USGS-072632996,"Lk Maumelle Raw Water Intake nr Natural Steps,AR","Lake, Reservoir, Impoundment",,11110207,,,,,34.85194444000000,-92.4891667000000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,05,119,,,,,,,,,NWIS
USGS-AR,USGS Arkansas Water Science Center,USGS-07263620,"AR River@David D Terry L&D below Little Rock, AR",Stream,,11110207,158429,sq mi,136188,sq mi,34.68111110000000,-92.1513889000000,,10,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,05,119,,,,,,,,,NWIS
USGS-AR,USGS Arkansas Water Science Center,USGS-07263878,"Salt Bayou Ditch nr Humphrey, AR",Stream,,08020401,,,,,34.39472220000000,-91.7202778000000,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,05,069,,,,,,,,,NWIS
USGS-AR,USGS Arkansas Water Science Center,USGS-072638805,"Fish Lake Ditch near Altheimer, AR",Stream,,08020401,,,,,34.26116389000000,-91.6990833000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,173.30,feet,.25,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,05,001,,,,,,,,,NWIS
USGS-AR,USGS Arkansas Water Science Center,USGS-07337000,"Red River at Index, AR",Stream,,11140106,48000,sq mi,42100,sq mi,33.55194444000000,-94.0411111000000,,10,seconds,Interpolated from MAP.,NAD83,246.87,feet,.01,feet,Level or other surveyed method.,NGVD29,US,05,091,,,,,,,,,NWIS
USGS-AR,USGS Arkansas Water Science Center,USGS-07340300,"Cossatot River near Vandervoort, AR",Stream,,11140109,89.6,sq mi,,,34.38000000000000,-94.2363889000000,,10,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,786.00,feet,14.,feet,Global Positioning System.,NAVD88,US,05,113,,,,,,,,,NWIS
USGS-AR,USGS Arkansas Water Science Center,USGS-07355860,"Board Camp Cr nr Wolf Pen Gap Rec nr Nunley, AR",Stream,,08040101,,,,,34.48597220000000,-94.1178611000000,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,05,113,,,,,,,,,NWIS
USGS-AR,USGS Arkansas Water Science Center,USGS-07355870,"Gap Cr nr Wolf Pen Gap Rec Area nr Nunley, AR",Stream,,08040101,,,,,34.48411110000000,-94.1261389000000,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,05,113,,,,,,,,,NWIS
USGS-AR,USGS Arkansas Water Science Center,USGS-07362000,"Ouachita River at Camden, AR",Stream,,08040102,5360,sq mi,,,33.59638889000000,-92.8180556000000,,10,seconds,Interpolated from MAP.,NAD83,78.04,feet,.25,feet,GNSS1 - Level 1 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,05,103,,,,,,,,,NWIS
USGS-AR,USGS Arkansas Water Science Center,USGS-07362587,"Alum Fork Saline River near Reform, AR",Stream,,08040203,27.0,sq mi,,,34.79750000000000,-92.9338889000000,,10,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,05,125,,,,,,,,,NWIS
USGS-AR,USGS Arkansas Water Science Center,USGS-07362588,Lake Winona DS from Stillhouse Creek near Reform,"Lake, Reservoir, Impoundment",,08040203,,,,,34.80786877000000,-92.9018392000000,,10,seconds,Interpolated from MAP.,NAD83,,,,,,,US,05,125,,,,,,,,,NWIS
USGS-AR,USGS Arkansas Water Science Center,USGS-07362589,"Lake Winona DS from Gillis Branch near Reform, AR","Lake, Reservoir, Impoundment",,08040203,,,,,34.80453528000000,-92.8546151000000,,10,seconds,Interpolated from MAP.,NAD83,,,,,,,US,05,125,,,,,,,,,NWIS
USGS-AR,USGS Arkansas Water Science Center,USGS-07362590,"Lake Winona at Reform, AR","Lake, Reservoir, Impoundment",,08040203,,,,,34.79777778000000,-92.8513889000000,,10,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,05,125,,,,,,,,,NWIS
USGS-AR,USGS Arkansas Water Science Center,USGS-07364122,"Bayou Bartholomew nr Meroney, AR",Stream,,08040205,,,,,33.95321944000000,-91.7334167000000,,1,seconds,Interpolated from Digital MAP.,NAD83,,,,,,,US,05,079,,,,,,,,,NWIS
USGS-AR,USGS Arkansas Water Science Center,USGS-07364130,"Deep Bayou near Star City, AR",Stream,,08040205,99.2,sq mi,,,33.96312500000000,-91.6924472000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,05,079,,,,,,,,,NWIS
USGS-AR,USGS Arkansas Water Science Center,USGS-07364133,"Bayou Bartholomew at Garrett Bridge, AR",Stream,,08040205,380,sq mi,,,33.86638889000000,-91.6561111000000,,10,seconds,Interpolated from MAP.,NAD83,,,,,,,US,05,079,,,,,,,,,NWIS
USGS-AR,USGS Arkansas Water Science Center,USGS-07364150,"Bayou Bartholomew near McGehee, AR",Stream,,08040205,576,sq mi,,,33.62777778000000,-91.4458333000000,,.1,seconds,Interpolated from MAP.,NAD83,120.48,feet,.01,feet,Level or other surveyed method.,NGVD29,US,05,041,,,,,,,,,NWIS
USGS-AR,USGS Arkansas Water Science Center,USGS-355817092502701,"Buffalo Rv. DS of Margaret White Spr nr Woolum, AR",Stream,,11010005,,,,,35.97143889000000,-92.8410111000000,24000,Unknown,Unknown,Unknown.,NAD83,,,,,,,US,05,129,,,,,,,,,NWIS
USGS-AR,USGS Arkansas Water Science Center,USGS-355848092484901,BUFFALO MAINSTEM 18 nr. Baker Ford,Stream,,11010005,,,,,35.98013889000000,-92.8135000000000,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,05,129,,,,,,,,,NWIS
